id,course_id,course_name,tee_date,tee_time,price,holes,rate_name,is_hot_deal,days_ahead,players_available,booked_players,occupancy_pct,fetched_at
1,1315,Tierra Verde,2026-06-27,12:40,115.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.383509+00:00
2,1315,Tierra Verde,2026-06-27,12:50,115.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.385127+00:00
3,1315,Tierra Verde,2026-06-27,13:00,114.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.386741+00:00
4,1315,Tierra Verde,2026-06-27,13:10,114.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.387776+00:00
5,1315,Tierra Verde,2026-06-27,13:20,114.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.388849+00:00
6,1315,Tierra Verde,2026-06-27,13:30,109.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.389787+00:00
7,1315,Tierra Verde,2026-06-27,13:40,109.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.390719+00:00
8,1315,Tierra Verde,2026-06-27,15:40,87.99,18,Hot Deal,1,0,2,2,100.0,2026-06-27T04:02:45.391710+00:00
9,1315,Tierra Verde,2026-06-27,15:40,103.0,18,18 Holes,0,0,2,2,100.0,2026-06-27T04:02:45.392432+00:00
10,1315,Tierra Verde,2026-06-27,15:40,185.0,18,Prepaid - 18 Holes,0,0,2,2,100.0,2026-06-27T04:02:45.393328+00:00
11,1315,Tierra Verde,2026-06-27,16:00,90.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.721455+00:00
12,1315,Tierra Verde,2026-06-27,16:10,90.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.722746+00:00
13,1315,Tierra Verde,2026-06-27,16:20,90.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.723715+00:00
14,1315,Tierra Verde,2026-06-27,16:30,90.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.724602+00:00
15,1315,Tierra Verde,2026-06-27,16:40,90.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.725562+00:00
16,1315,Tierra Verde,2026-06-27,17:10,70.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.726480+00:00
17,1315,Tierra Verde,2026-06-27,17:20,70.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.727401+00:00
18,1315,Tierra Verde,2026-06-27,17:30,70.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.728322+00:00
19,1315,Tierra Verde,2026-06-27,17:40,70.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.729443+00:00
20,1315,Tierra Verde,2026-06-27,17:50,70.0,18,18 Holes,0,0,4,,,2026-06-27T04:02:45.730475+00:00
21,1315,Tierra Verde,2026-06-28,12:50,110.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.046265+00:00
22,1315,Tierra Verde,2026-06-28,13:00,110.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.047943+00:00
23,1315,Tierra Verde,2026-06-28,13:10,110.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.049056+00:00
24,1315,Tierra Verde,2026-06-28,13:40,101.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.050360+00:00
25,1315,Tierra Verde,2026-06-28,13:50,101.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.051718+00:00
26,1315,Tierra Verde,2026-06-28,14:10,99.0,18,18 Holes,0,1,2,2,100.0,2026-06-27T04:02:46.052937+00:00
27,1315,Tierra Verde,2026-06-28,14:40,99.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.054092+00:00
28,1315,Tierra Verde,2026-06-28,15:00,96.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.055354+00:00
29,1315,Tierra Verde,2026-06-28,15:10,96.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.056465+00:00
30,1315,Tierra Verde,2026-06-28,15:30,96.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.057569+00:00
31,1315,Tierra Verde,2026-06-28,15:40,96.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.058765+00:00
32,1315,Tierra Verde,2026-06-28,16:00,90.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.059946+00:00
33,1315,Tierra Verde,2026-06-28,16:10,90.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.062516+00:00
34,1315,Tierra Verde,2026-06-28,16:20,90.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.063996+00:00
35,1315,Tierra Verde,2026-06-28,16:30,90.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.065039+00:00
36,1315,Tierra Verde,2026-06-28,16:40,90.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.066440+00:00
37,1315,Tierra Verde,2026-06-28,17:00,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.067510+00:00
38,1315,Tierra Verde,2026-06-28,17:10,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.068423+00:00
39,1315,Tierra Verde,2026-06-28,17:20,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.069289+00:00
40,1315,Tierra Verde,2026-06-28,17:30,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.070178+00:00
41,1315,Tierra Verde,2026-06-28,17:40,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.071379+00:00
42,1315,Tierra Verde,2026-06-28,17:50,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.072250+00:00
43,1315,Tierra Verde,2026-06-28,18:00,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.073102+00:00
44,1315,Tierra Verde,2026-06-28,18:10,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.074094+00:00
45,1315,Tierra Verde,2026-06-28,18:20,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.074965+00:00
46,1315,Tierra Verde,2026-06-28,18:30,70.0,18,18 Holes,0,1,4,,,2026-06-27T04:02:46.075862+00:00
47,1315,Tierra Verde,2026-06-29,07:00,69.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:46.447093+00:00
48,1315,Tierra Verde,2026-06-29,07:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:46.448249+00:00
49,1315,Tierra Verde,2026-06-29,07:30,78.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:46.449255+00:00
50,1315,Tierra Verde,2026-06-29,07:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:46.450075+00:00
51,1315,Tierra Verde,2026-06-29,11:20,60.99,18,Hot Deal,1,2,4,,,2026-06-27T04:02:46.649958+00:00
52,1315,Tierra Verde,2026-06-29,11:20,71.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:46.650941+00:00
53,1315,Tierra Verde,2026-06-29,11:20,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:46.651640+00:00
54,1315,Tierra Verde,2026-06-29,11:30,71.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:47.004647+00:00
55,1315,Tierra Verde,2026-06-29,11:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:47.005645+00:00
56,1315,Tierra Verde,2026-06-29,11:40,71.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:47.323708+00:00
57,1315,Tierra Verde,2026-06-29,11:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:47.324733+00:00
58,1315,Tierra Verde,2026-06-29,12:10,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:47.522857+00:00
59,1315,Tierra Verde,2026-06-29,12:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:47.523912+00:00
60,1315,Tierra Verde,2026-06-29,12:20,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:47.525010+00:00
61,1315,Tierra Verde,2026-06-29,12:20,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:47.525949+00:00
62,1315,Tierra Verde,2026-06-29,12:30,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:47.717158+00:00
63,1315,Tierra Verde,2026-06-29,12:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:47.718116+00:00
64,1315,Tierra Verde,2026-06-29,12:40,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:47.913900+00:00
65,1315,Tierra Verde,2026-06-29,12:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:47.914761+00:00
66,1315,Tierra Verde,2026-06-29,12:50,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:48.176976+00:00
67,1315,Tierra Verde,2026-06-29,12:50,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:48.177899+00:00
68,1315,Tierra Verde,2026-06-29,13:00,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:48.501472+00:00
69,1315,Tierra Verde,2026-06-29,13:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:48.502374+00:00
70,1315,Tierra Verde,2026-06-29,13:10,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:48.503604+00:00
71,1315,Tierra Verde,2026-06-29,13:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:48.504443+00:00
72,1315,Tierra Verde,2026-06-29,13:30,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:48.754708+00:00
73,1315,Tierra Verde,2026-06-29,13:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:48.755696+00:00
74,1315,Tierra Verde,2026-06-29,13:40,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:49.255835+00:00
75,1315,Tierra Verde,2026-06-29,13:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:49.256826+00:00
76,1315,Tierra Verde,2026-06-29,13:50,68.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:49.491039+00:00
77,1315,Tierra Verde,2026-06-29,13:50,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:49.492182+00:00
78,1315,Tierra Verde,2026-06-29,14:00,69.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:49.743268+00:00
79,1315,Tierra Verde,2026-06-29,14:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:49.744156+00:00
80,1315,Tierra Verde,2026-06-29,14:10,69.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:49.745222+00:00
81,1315,Tierra Verde,2026-06-29,14:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:49.746091+00:00
82,1315,Tierra Verde,2026-06-29,14:20,69.0,18,18 Holes,0,2,2,2,100.0,2026-06-27T04:02:49.959941+00:00
83,1315,Tierra Verde,2026-06-29,14:20,185.0,18,Prepaid - 18 Holes,0,2,2,2,100.0,2026-06-27T04:02:49.960860+00:00
84,1315,Tierra Verde,2026-06-29,14:30,69.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:50.103466+00:00
85,1315,Tierra Verde,2026-06-29,14:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:50.105522+00:00
86,1315,Tierra Verde,2026-06-29,14:40,69.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:50.380937+00:00
87,1315,Tierra Verde,2026-06-29,14:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:50.381923+00:00
88,1315,Tierra Verde,2026-06-29,15:00,67.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:50.510261+00:00
89,1315,Tierra Verde,2026-06-29,15:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:50.511308+00:00
90,1315,Tierra Verde,2026-06-29,15:10,67.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:50.512490+00:00
91,1315,Tierra Verde,2026-06-29,15:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:50.513338+00:00
92,1315,Tierra Verde,2026-06-29,15:20,67.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:50.732687+00:00
93,1315,Tierra Verde,2026-06-29,15:20,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:50.733787+00:00
94,1315,Tierra Verde,2026-06-29,15:30,67.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:50.849507+00:00
95,1315,Tierra Verde,2026-06-29,15:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:50.850665+00:00
96,1315,Tierra Verde,2026-06-29,15:40,67.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:51.213930+00:00
97,1315,Tierra Verde,2026-06-29,15:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:51.214844+00:00
98,1315,Tierra Verde,2026-06-29,15:50,67.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:51.337524+00:00
99,1315,Tierra Verde,2026-06-29,15:50,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:51.352543+00:00
100,1315,Tierra Verde,2026-06-29,16:00,62.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:51.543550+00:00
101,1315,Tierra Verde,2026-06-29,16:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:51.544650+00:00
102,1315,Tierra Verde,2026-06-29,16:10,62.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:51.545670+00:00
103,1315,Tierra Verde,2026-06-29,16:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:51.546478+00:00
104,1315,Tierra Verde,2026-06-29,16:20,62.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:51.673294+00:00
105,1315,Tierra Verde,2026-06-29,16:20,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:51.674270+00:00
106,1315,Tierra Verde,2026-06-29,16:30,62.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:51.894712+00:00
107,1315,Tierra Verde,2026-06-29,16:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:51.895598+00:00
108,1315,Tierra Verde,2026-06-29,16:40,62.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:52.016407+00:00
109,1315,Tierra Verde,2026-06-29,16:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:52.017513+00:00
110,1315,Tierra Verde,2026-06-29,16:50,62.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:52.140745+00:00
111,1315,Tierra Verde,2026-06-29,16:50,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:52.142357+00:00
112,1315,Tierra Verde,2026-06-29,17:00,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:52.354603+00:00
113,1315,Tierra Verde,2026-06-29,17:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:52.355803+00:00
114,1315,Tierra Verde,2026-06-29,17:10,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:52.494767+00:00
115,1315,Tierra Verde,2026-06-29,17:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:52.495893+00:00
116,1315,Tierra Verde,2026-06-29,17:20,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:52.847734+00:00
117,1315,Tierra Verde,2026-06-29,17:20,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:52.849257+00:00
118,1315,Tierra Verde,2026-06-29,17:30,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:52.966397+00:00
119,1315,Tierra Verde,2026-06-29,17:30,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:52.967298+00:00
120,1315,Tierra Verde,2026-06-29,17:40,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:53.166934+00:00
121,1315,Tierra Verde,2026-06-29,17:40,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:53.167767+00:00
122,1315,Tierra Verde,2026-06-29,17:50,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:53.289872+00:00
123,1315,Tierra Verde,2026-06-29,17:50,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:53.290958+00:00
124,1315,Tierra Verde,2026-06-29,18:00,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:53.545676+00:00
125,1315,Tierra Verde,2026-06-29,18:00,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:53.546704+00:00
126,1315,Tierra Verde,2026-06-29,18:10,49.0,18,18 Holes,0,2,4,,,2026-06-27T04:02:53.547721+00:00
127,1315,Tierra Verde,2026-06-29,18:10,185.0,18,Prepaid - 18 Holes,0,2,4,,,2026-06-27T04:02:53.548572+00:00
